cohort	analysis_route	genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
PRJNA666746	DADA2_ASV	g__Aurantisolimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Aureimonas	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Auricoccus-Abyssicoccus	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Azohydromonas	50	0	0	0.152114	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	g__Azospirillum	50	0	0	0.134993	0.000726163	0.00157225
PRJNA666746	DADA2_ASV	g__Bacillus	50	0	0.00175653	-2.36884	3.38235e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Bacteriovorax	50	0	0	0.171295	9.97976e-07	8.87297e-05
PRJNA666746	DADA2_ASV	g__Bacteroides	50	0.00366073	0.0105146	-0.479576	0.028257	0.0377809
PRJNA666746	DADA2_ASV	g__Barrientosiimonas	50	0	0	0.152114	8.39809e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Bergeriella	50	0	0	0.141895	0.000645726	0.00157225
PRJNA666746	DADA2_ASV	g__Bergeyella	50	0.000305176	2.47297e-05	1.53304	0.0125682	0.0179546
PRJNA666746	DADA2_ASV	g__Berryella	50	0	0	0.134993	0.00177796	0.00316082
PRJNA666746	DADA2_ASV	g__Bifidobacterium	50	0.0041921	0.00845155	-0.527138	0.0894381	0.109796
PRJNA666746	DADA2_ASV	g__Bilophila	50	0	0	0.139186	0.000130296	0.000496365
PRJNA666746	DADA2_ASV	g__Blautia	50	0.0012525	0.0043853	-0.942391	0.0054056	0.00828974
PRJNA666746	DADA2_ASV	g__Blvii28_wastewater-sludge_group	50	0	0	0.152114	0.000230875	0.000803043
PRJNA666746	DADA2_ASV	g__Bosea	50	0	0	0.141895	0.00243994	0.00412384
PRJNA666746	DADA2_ASV	g__Brachybacterium	50	0	0	0.198341	0.0161853	0.0225841
PRJNA666746	DADA2_ASV	g__Bradyrhizobium	50	0	0	0.141895	9.9154e-05	0.000403338
PRJNA666746	DADA2_ASV	g__Brevibacillus	50	0	0	0.0587326	0.201035	0.230302
PRJNA666746	DADA2_ASV	g__Brevibacterium	50	0	0	0.139186	0.0125682	0.0179546
PRJNA666746	DADA2_ASV	g__Brevundimonas	50	0	9.45696e-05	-0.17782	0.105255	0.12694
PRJNA666746	DADA2_ASV	g__Breznakibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Brooklawnia	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	g__Brucella	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	g__Bulleidia	50	0	0	0.171295	0.00148465	0.00266903
PRJNA666746	DADA2_ASV	g__Burkholderia-Caballeronia-Paraburkholderia	50	0	0.000239186	-0.485715	0.0554657	0.0706195
PRJNA666746	DADA2_ASV	g__Butyribacter	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Butyricimonas	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Butyrivibrio	50	0	0	0.216347	0.000573477	0.00157225
PRJNA666746	DADA2_ASV	g__Caldimonas	50	0	0	0.110749	0.0345308	0.0455351
PRJNA666746	DADA2_ASV	g__Calidithermus	50	0	0	0.141895	0.000108676	0.000417316
PRJNA666746	DADA2_ASV	g__Campylobacter	50	0.00640325	0.00217554	0.993259	0.0105666	0.0154164
PRJNA666746	DADA2_ASV	g__Candidatus_Accumulibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Candidatus_Berkiella	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Candidatus_Saccharimonas	50	0	0	0.0910573	0.171914	0.200288
PRJNA666746	DADA2_ASV	g__Candidatus_Udaeobacter	50	0	0	0.141895	0.000508667	0.00151652
PRJNA666746	DADA2_ASV	g__Capnocytophaga	50	0.010054	0.0080338	0.820464	0.0483095	0.0623349
PRJNA666746	DADA2_ASV	g__Caproiciproducens	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	g__Cardiobacterium	50	0	0	0.109022	0.618594	0.648308
PRJNA666746	DADA2_ASV	g__Carnobacterium	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Castellaniella	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Catenibacillus	50	0	0	0.134993	0.00342753	0.00557699
PRJNA666746	DADA2_ASV	g__Catenibacterium	50	0	0	0.198341	3.58616e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Catenisphaera	50	0	0	0.134993	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	g__Catonella	50	0.00107533	0.000320284	0.666111	0.00911696	0.013465
PRJNA666746	DADA2_ASV	g__Caulobacter	50	0	0	0.134993	0.00366325	0.00588081
PRJNA666746	DADA2_ASV	g__Cellulomonas	50	0	0	0.147921	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Cellvibrio	50	0	0	0.134993	0.000596698	0.00157225
PRJNA666746	DADA2_ASV	g__Cereibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Christensenellaceae_R-7_group	50	0	0	0.152114	0.00212243	0.00367787
PRJNA666746	DADA2_ASV	g__Chroococcidiopsis_PCC_7203	50	0	0	0.130499	0.00445942	0.00692726
PRJNA666746	DADA2_ASV	g__Chroococcidiopsis_SAG_2023	50	0	0	0.152114	7.8612e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Chryseobacterium	50	0	0	0.171295	0.00289631	0.00477742
PRJNA666746	DADA2_ASV	g__Chryseomicrobium	50	0	0	0.141895	0.0268486	0.0360989
PRJNA666746	DADA2_ASV	g__Chthonobacter	50	0	0	0.152114	5.9167e-05	0.000364105
PRJNA666746	DADA2_ASV	g__Cloacibacterium	50	0	0	0.152114	0.000914937	0.00168911
PRJNA666746	DADA2_ASV	g__Clostridium	50	0	0	0.141895	0.000620771	0.00157225
PRJNA666746	DADA2_ASV	g__Cnuella	50	0	0	0.141895	0.0046061	0.0071091
PRJNA666746	DADA2_ASV	g__Cohnella	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	g__Colidextribacter	50	0	0	0.139186	0.0328621	0.0436948
PRJNA666746	DADA2_ASV	g__Collinsella	50	0.00160974	0.00535381	-0.949622	0.00143151	0.00258318
PRJNA666746	DADA2_ASV	g__Comamonas	50	0	0	0.134993	0.0212237	0.0290238
PRJNA666746	DADA2_ASV	g__Conexibacter	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	g__Coprobacillus	50	0	0	0.152114	1.16456e-05	0.000114079
PRJNA666746	DADA2_ASV	g__Coprococcus	50	0	0	0.141895	8.63048e-05	0.00039812
PRJNA666746	DADA2_ASV	g__Corynebacterium	50	0.000551108	0.00215988	-0.97053	0.0166377	0.0230813
PRJNA666746	DADA2_ASV	g__Croceibacterium	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Cryptobacterium	50	0	0	0.141895	0.0012357	0.00224673
PRJNA666746	DADA2_ASV	g__Cupriavidus	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Curtobacterium	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	g__Curvibacter	50	0	0	0.152114	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Cutibacterium	50	0.000526656	0.00186811	-0.160529	0.0648862	0.0811078
PRJNA666746	DADA2_ASV	g__DEV114	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Daejeonella	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Dechlorobacter	50	0	0	0.152114	7.15565e-05	0.000390308
PRJNA666746	DADA2_ASV	g__Defluviitaleaceae_UCG-011	50	0	0	0.0910573	0.0951333	0.115898
PRJNA666746	DADA2_ASV	g__Deinococcus	50	0	0	0.216347	0.00884888	0.01315
PRJNA666746	DADA2_ASV	g__Delftia	50	0	0	0.141895	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	g__Demequina	50	0	0	0.171295	4.52151e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Dermabacter	50	0	0	0.110749	0.0140785	0.0198173
PRJNA666746	DADA2_ASV	g__Dermatophilus	50	0	0	0.141895	0.000645726	0.00157225
PRJNA666746	DADA2_ASV	g__Desulfobulbus	50	0	0	0.110749	0.0345308	0.0455351
PRJNA666746	DADA2_ASV	g__Desulfomicrobium	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Desulfovibrio	50	0	0	0.152114	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	g__Devosia	50	0	0	0.130499	0.00417845	0.00664124
PRJNA666746	DADA2_ASV	g__Dialister	50	0.000576229	0.000813237	0.55646	0.132961	0.158365
PRJNA666746	DADA2_ASV	g__Diaphorobacter	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Dietzia	50	0	0	0.171295	0.000155814	0.000566597
PRJNA666746	DADA2_ASV	g__Dolosigranulum	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Dorea	50	0	0	0.141895	0.000488595	0.00148434
PRJNA666746	DADA2_ASV	g__Dyadobacter	50	0	0	0.130499	0.00331482	0.00541194
PRJNA666746	DADA2_ASV	g__Effusibacillus	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Eggerthella	50	0	0	0.133208	0.0212237	0.0290238
PRJNA666746	DADA2_ASV	g__Eggerthia	50	0	0	0.130499	0.0133048	0.0188944
PRJNA666746	DADA2_ASV	g__Eikenella	50	4.56963e-05	0.000235748	0.143427	0.954225	0.954225
PRJNA666746	DADA2_ASV	g__Empedobacter	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	g__Endomicrobium	50	0	0	0.141895	9.9154e-05	0.000403338
PRJNA666746	DADA2_ASV	g__Enhydrobacter	50	0	0	0.263593	0.204476	0.233687
PRJNA666746	DADA2_ASV	g__Ensifer	50	0	0	0.198341	2.19128e-05	0.000181348
PRJNA666746	DADA2_ASV	g__Enterobacter	50	0	0	0.133208	0.178101	0.206494
PRJNA666746	DADA2_ASV	g__Enterocloster	50	0	0.000452558	-0.242959	0.103166	0.12505
PRJNA666746	DADA2_ASV	g__Enterococcus	50	0	0	0.165269	0.00279936	0.00464946
PRJNA666746	DADA2_ASV	g__Ercella	50	0	0	0.152114	7.50077e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Erysipelothrix	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Erysipelotrichaceae_UCG-006	50	0	0	0.110749	0.0805483	0.0993913
PRJNA666746	DADA2_ASV	g__Erysipelotrichaceae_UCG-008	50	0	0	0.139186	0.000987122	0.00180847
PRJNA666746	DADA2_ASV	g__Erythrobacter	50	0	0	0.216347	5.36725e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Escherichia-Shigella	50	0	0	0.109022	0.211485	0.240552
PRJNA666746	DADA2_ASV	g__Exiguobacterium	50	0	0	0.134993	0.0620713	0.0782
PRJNA666746	DADA2_ASV	g__Extibacter	50	0	0	0.134993	0.00557949	0.00850208
PRJNA666746	DADA2_ASV	g__Ezakiella	50	0	0	0.110749	0.0122133	0.0176579
PRJNA666746	DADA2_ASV	g__F0058	50	0	0	0.134993	0.0419321	0.0543984
PRJNA666746	DADA2_ASV	g__F0332	50	0	0	0.0910573	0.111718	0.134398
PRJNA666746	DADA2_ASV	g__Faecalibacterium	50	0	0	0.110749	0.123169	0.147067
PRJNA666746	DADA2_ASV	g__Faecalimonas	50	0	0	0.169977	0.0693016	0.0861782
PRJNA666746	DADA2_ASV	g__Family_XIII_AD3011_group	50	0	0	0.141895	0.00219812	0.00379532
PRJNA666746	DADA2_ASV	g__Family_XIII_UCG-001	50	0	0	0.185186	0.0161853	0.0225841
PRJNA666746	DADA2_ASV	g__Fannyhessea	50	0	0	0.141895	0.000450602	0.00140447
PRJNA666746	DADA2_ASV	g__Fastidiosipila	50	0	0	0.152114	0.000398648	0.00130171
PRJNA666746	DADA2_ASV	g__Fenollaria	50	0	0	0.141895	0.000415324	0.00132023
PRJNA666746	DADA2_ASV	g__Fermentibacillus	50	0	0	0.141895	0.000108676	0.000417316
PRJNA666746	DADA2_ASV	g__Ferruginibacter	50	0	0	0.141895	9.04064e-05	0.00039812
PRJNA666746	DADA2_ASV	g__Fibrella	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	g__Filifactor	50	0	0	0.250486	7.15565e-05	0.000390308
PRJNA666746	DADA2_ASV	g__Finegoldia	50	0	0	0.0910573	0.0390155	0.0507519
PRJNA666746	DADA2_ASV	g__Flaviaestuariibacter	50	0	0	0.130499	0.0043169	0.00677161
PRJNA666746	DADA2_ASV	g__Flavihumibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Flavimobilis	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Flavisolibacter	50	0	0	0.134993	0.0011051	0.00201692
PRJNA666746	DADA2_ASV	g__Flavobacterium	50	0	0	0.141895	0.00366325	0.00588081
PRJNA666746	DADA2_ASV	g__Flavonifractor	50	0	0	0.152114	0.0593562	0.0751741
PRJNA666746	DADA2_ASV	g__Flexilinea	50	0	0	0.130499	0.0320535	0.042738
PRJNA666746	DADA2_ASV	g__Fluviicola	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Fretibacterium	50	0	0	0.119436	0.0506052	0.0649479
PRJNA666746	DADA2_ASV	g__Fuscovulum	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Fusicatenibacter	50	0	0.000434868	-1.24727	0.178101	0.206494
PRJNA666746	DADA2_ASV	g__Fusobacterium	50	0.0468905	0.018395	0.298553	0.11394	0.136387
PRJNA666746	DADA2_ASV	g__Gardnerella	50	0	0	0.141895	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Gemella	50	0.0148613	0.0142453	0.0216863	0.931384	0.935281
PRJNA666746	DADA2_ASV	g__Gemmata	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	g__Gemmatimonas	50	0	0	0.152114	1.97602e-05	0.000166401
PRJNA666746	DADA2_ASV	g__Gemmiger	50	0	0	0.134993	0.000847571	0.00157688
PRJNA666746	DADA2_ASV	g__Gemmobacter	50	0	0	0.141895	0.00261412	0.00440274
PRJNA666746	DADA2_ASV	g__Geobacillus	50	0	0	0.130499	0.103166	0.12505
PRJNA666746	DADA2_ASV	g__Georgenia	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Glutamicibacter	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Gordonia	50	0	0	0.141895	0.000170228	0.000609771
PRJNA666746	DADA2_ASV	g__Gordonibacter	50	0	0	0.134993	0.00289631	0.00477742
PRJNA666746	DADA2_ASV	g__Granulicatella	50	0.00350808	0.00746273	-0.472995	0.140684	0.165917
PRJNA666746	DADA2_ASV	g__HN-HF0106	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Haemophilus	50	0.0187811	0.0214213	0.142467	0.730448	0.754011
PRJNA666746	DADA2_ASV	g__Halobacillus	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	g__Halomonas	50	0	0	0.0910573	0.0362699	0.0475671
PRJNA666746	DADA2_ASV	g__Haoranjiania	50	0	0	0.152114	1.68966e-05	0.000155969
PRJNA666746	DADA2_ASV	g__Hassallia	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Herbaspirillum	50	0	0	0.141895	0.000285701	0.000986592
PRJNA666746	DADA2_ASV	g__Holdemanella	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	g__Hornefia	50	0	0	0.216347	0.000221142	0.000774805
PRJNA666746	DADA2_ASV	g__Howardella	50	0	0	0.198341	1.60312e-05	0.000150882
PRJNA666746	DADA2_ASV	g__Hoylesella	50	0.00194223	0.00259967	0.069196	0.659698	0.686887
PRJNA666746	DADA2_ASV	g__Hungatella	50	0	0	0.130499	0.0136869	0.0193227
PRJNA666746	DADA2_ASV	g__Hydrogenophaga	50	0	0	0.171295	4.01146e-05	0.000296231
PRJNA666746	DADA2_ASV	g__Hymenobacter	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Ideonella	50	0	0	0.141895	0.000551083	0.00156521
PRJNA666746	DADA2_ASV	g__Incertae_Sedis	50	0.0107975	0.0168272	0.0201734	0.443267	0.473871
PRJNA666746	DADA2_ASV	g__Intestinibacter	50	0	0	0.141895	0.000529488	0.00154972
PRJNA666746	DADA2_ASV	g__Janibacter	50	0	0	0.141895	0.0951333	0.115898
PRJNA666746	DADA2_ASV	g__Jeotgalicoccus	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	g__Johnsonella	50	0	0	0.0823185	0.878334	0.891333
PRJNA666746	DADA2_ASV	g__Jonesia	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Kineosphaera	50	0	0	0.152114	7.8612e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Kingella	50	0	0	0.242348	0.0634661	0.0795398
PRJNA666746	DADA2_ASV	g__Kinneretia	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Klebsiella	50	0	0	0.0823185	0.367343	0.396235
PRJNA666746	DADA2_ASV	g__Knoellia	50	0	0	0.141895	0.00270532	0.00452458
PRJNA666746	DADA2_ASV	g__Kocuria	50	0	0	0.109022	0.253083	0.283831
PRJNA666746	DADA2_ASV	g__Kytococcus	50	0	0	0.152114	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	g__Lachnoanaerobaculum	50	0.00163082	0.00131225	0.134329	0.388178	0.41777
PRJNA666746	DADA2_ASV	g__Lachnoclostridium	50	0	0	0.275456	0.215052	0.243456
PRJNA666746	DADA2_ASV	g__Lachnospira	50	0	0	0.141895	0.00270532	0.00452458
PRJNA666746	DADA2_ASV	g__Lachnospiraceae_FE2018_group	50	0	0	0.141895	8.23756e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Lachnospiraceae_NK3A20_group	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	g__Lachnospiraceae_NK4A136_group	50	0	0	0.152114	7.8612e-05	0.000391488
PRJNA666746	DADA2_ASV	g__Lachnospiraceae_UCG-008	50	0	0	0.130499	0.00445942	0.00692726
PRJNA666746	DADA2_ASV	g__Lacibacter	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Lacrimispora	50	0	0	0.141895	0.000645726	0.00157225
PRJNA666746	DADA2_ASV	g__Lacticaseibacillus	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	g__Lactobacillus	50	0	0	0.171295	0.00694138	0.0104121
PRJNA666746	DADA2_ASV	g__Lancefieldella	50	0	0	0.0888846	0.559105	0.591124
PRJNA666746	DADA2_ASV	g__Lautropia	50	1.72607e-05	0	0.233123	0.931384	0.935281
PRJNA666746	DADA2_ASV	g__Lawsonella	50	0	0	0.110749	0.135498	0.160988
PRJNA666746	DADA2_ASV	g__Legionella	50	0	0	0.152114	3.81819e-05	0.000286364
PRJNA666746	DADA2_ASV	g__Leifsonia	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Lentibacillus	50	0	0	0.141895	0.000620771	0.00157225
PRJNA666746	DADA2_ASV	g__Lentimicrobium	50	0	0	0.171295	0.0371666	0.0486103
PRJNA666746	DADA2_ASV	g__Leptotrichia	50	0.00327826	0.00580013	0.0575467	0.81094	0.828194
PRJNA666746	DADA2_ASV	g__Leucobacter	50	0	0	0.141895	0.000671589	0.00157225
PRJNA666746	DADA2_ASV	g__Leuconostoc	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	g__Leyella	50	0	0	0.233123	0.0043169	0.00677161
PRJNA666746	DADA2_ASV	g__Lichenibacterium	50	0	0	0.141895	9.9154e-05	0.000403338
PRJNA666746	DADA2_ASV	g__Ligilactobacillus	50	0	0	0.109022	0.160017	0.186881
PRJNA666746	DADA2_ASV	g__Limibaculum	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	g__Limnobacter	50	0	0	0.141895	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	g__Limosilactobacillus	50	0	0	0.134993	0.00212243	0.00367787
PRJNA666746	DADA2_ASV	g__Litorilinea	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	g__Luteimonas	50	0	0	0.171295	3.63358e-05	0.000276844
PRJNA666746	DADA2_ASV	g__Luteococcus	50	0	0	0.152114	4.42546e-05	0.00030346
PRJNA666746	DADA2_ASV	g__Luteolibacter	50	0	0	0.152114	1.97602e-05	0.000166401
PRJNA666746	DADA2_ASV	g__Lysinibacillus	50	0	0	0.134993	0.00331482	0.00541194
PRJNA666746	DADA2_ASV	g__Lysobacter	50	0	0	0.0473978	0.552667	0.585607
PRJNA666746	DADA2_ASV	g__Mannheimia	50	0	0	0.141895	0.000103814	0.000411826
PRJNA666746	DADA2_ASV	g__Marinobacter	50	0	0	0.110749	0.0175754	0.024242
PRJNA666746	DADA2_ASV	g__Marinococcus	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	g__Marmoricola	50	0	0	0.152114	3.2889e-05	0.000254624
